Category | Graph ID | Graph Name | Vertices | Edges | Prim Cost | Kruskal Cost | Prim Ops | Kruskal Ops | Prim Time (ms) | Kruskal Time (ms) | Cost Diff | Efficiency Ratio (Kruskal/Prim)
small | 1 | S1 | 10 | 21 | 251 | 251 | 106 | 98 | 1,79 | 2,30 | 0,00 | 1,28
small | 2 | S2 | 15 | 46 | 299 | 299 | 383 | 339 | 0,20 | 0,18 | 0,00 | 0,94
small | 3 | S3 | 20 | 88 | 354 | 354 | 625 | 610 | 0,17 | 0,22 | 0,00 | 1,31
small | 4 | S4 | 25 | 171 | 198 | 198 | 1439 | 1375 | 0,33 | 0,31 | 0,00 | 0,96
small | 5 | S5 | 30 | 225 | 239 | 239 | 2482 | 2079 | 0,56 | 0,59 | 0,00 | 1,04
medium | 6 | M1 | 50 | 410 | 376 | 376 | 2829 | 3444 | 0,69 | 0,93 | 0,00 | 1,35
medium | 7 | M2 | 75 | 631 | 495 | 495 | 5023 | 5856 | 0,75 | 1,30 | 0,00 | 1,73
medium | 8 | M3 | 100 | 1241 | 517 | 517 | 8019 | 12118 | 0,75 | 2,49 | 0,00 | 3,31
medium | 9 | M4 | 125 | 2670 | 373 | 373 | 15909 | 27519 | 1,55 | 4,23 | 0,00 | 2,72
medium | 10 | M5 | 150 | 4086 | 367 | 367 | 22755 | 42319 | 1,99 | 5,29 | 0,00 | 2,66
medium | 11 | M6 | 175 | 5530 | 399 | 399 | 29468 | 58857 | 4,16 | 4,30 | 0,00 | 1,03
medium | 12 | M7 | 200 | 6533 | 469 | 469 | 33568 | 68676 | 2,97 | 4,72 | 0,00 | 1,59
medium | 13 | M8 | 225 | 9874 | 461 | 461 | 51851 | 105472 | 5,65 | 6,85 | 0,00 | 1,21
medium | 14 | M9 | 250 | 7257 | 632 | 632 | 39029 | 76878 | 2,05 | 3,83 | 0,00 | 1,87
medium | 15 | M10 | 300 | 12208 | 594 | 594 | 57803 | 130121 | 2,68 | 9,31 | 0,00 | 3,47
large | 16 | L1 | 400 | 11880 | 1041 | 1041 | 73363 | 129660 | 3,75 | 8,25 | 0,00 | 2,20
large | 17 | L2 | 450 | 13091 | 1087 | 1087 | 70561 | 141350 | 4,78 | 7,72 | 0,00 | 1,62
large | 18 | L3 | 500 | 18543 | 1055 | 1055 | 100846 | 200933 | 5,37 | 10,21 | 0,00 | 1,90
large | 19 | L4 | 550 | 17470 | 1410 | 1410 | 114266 | 192227 | 5,47 | 9,85 | 0,00 | 1,80
large | 20 | L5 | 600 | 14198 | 1761 | 1761 | 105893 | 158569 | 4,20 | 6,05 | 0,00 | 1,44
large | 21 | L6 | 650 | 23221 | 1455 | 1455 | 138115 | 254272 | 5,59 | 15,64 | 0,00 | 2,80
large | 22 | L7 | 700 | 24929 | 1496 | 1496 | 183034 | 279392 | 6,71 | 15,78 | 0,00 | 2,35
large | 23 | L8 | 800 | 43021 | 1368 | 1368 | 244299 | 470103 | 8,91 | 21,97 | 0,00 | 2,47
large | 24 | L9 | 900 | 34942 | 1787 | 1787 | 229283 | 385341 | 9,27 | 21,76 | 0,00 | 2,35
large | 25 | L10 | 1000 | 74163 | 1357 | 1357 | 361197 | 804590 | 17,06 | 42,14 | 0,00 | 2,47
extra | 26 | E1 | 1300 | 36187 | 3586 | 3586 | 270678 | 408600 | 9,14 | 12,70 | 0,00 | 1,39
extra | 27 | E2 | 1600 | 67167 | 3167 | 3167 | 501957 | 753551 | 13,23 | 22,00 | 0,00 | 1,66
extra | 28 | E3 | 2000 | 97808 | 3505 | 3505 | 569677 | 1072229 | 19,09 | 31,66 | 0,00 | 1,66
extra | 29 | E4 | 2300 | 140388 | 3500 | 3500 | 784157 | 1535271 | 35,36 | 64,81 | 0,00 | 1,83
extra | 30 | E5 | 2600 | 164921 | 3886 | 3886 | 955543 | 1809665 | 36,77 | 49,11 | 0,00 | 1,34
extra | 31 | E6 | 3000 | 164777 | 4930 | 4930 | 891171 | 1801308 | 37,46 | 48,14 | 0,00 | 1,29
